o , "oh, please"
bena, "give"
gudei, "hear, ear, listen"
vin , "you"
li, "is/are"
va, "no,not,none"
gein, "can"
ei, "OBJECT MARKER"
dugi, "speak,communicate,langauge"
zan, "person"
buna, "good"
mi, "I, me, my"

dugi Bialan,"The Dugi Bialan Language"
dugi Enlis,"The English Language"
va-li, "Is/am not"
gein gudei ,"can hear/understand"
zan buna ,"a good person / friend"
o bena gudei, "Excuse me / Oh give ear"
o zan buna, "Excuse me / Oh good person"
vin li gein gudei, "You are able to hear/understand (a language)"
"va-li o zan buna", "No sir/madam/good person"
mi li gein gudei, "I can understand <a language>"

mi va-li gein gudei , "I can't understand"
vin li va-li gein gudei , "can you understand

mi li gein gudei ei dugi Bialan, "I can understand Dugi Bialan"
mi va-li gein gudei ei dugi Enlis, "I can't understand English"
mi va-li gein gudei ei dugi Bialan, "I can't understand Dugi Bialan"
vin li gein gudei ei dugi Enlis, "You can understand English"

vin li va-li gein gudei ei dugi Enlis, "Can you understand English"
vin li va-li gein dugi ei dugi Bialan?, "Can you speak Dugi Bialan"

li. mi li gein gudei ei dugi Enlis. "Yes/is/am. I AM able to understand English"

va-li. mi va-li gein gudei ei dugi Enlis. "No/is not/am not. I can't understand English"

-- Part 2 -- 

leli,"small, few"
bi, "of"
mon, "male, man"
min, "female, woman"
man, "place"
wei, "do/does"
zon, "know,knowledge"

man Emeigg,"America"
man Velonss,"France"

leli bi dugi bialan, "a little Dugi Bialan"
mi li gein gudei ei leli, "I can understand a little"
mi li gein dugi ei leli, "I can speak a little"
mi li bi man Emeigg, "I am from/of America"
mi li min bi man Velonss, "I am a woman of France / A french Woman"
"o min buna", "Oh madam, Oh good lady"
"o mon buna", "Oh sir, Oh good man"
o bena gudei o min buna, "Excuse me good lady"
vin li va-li bi man Emeigg, "Are you American / Of America"
"li , mi li bi man Emeigg", "Yes/Am, I am American"
mi li gein dugi ei leli bi dugi bialan. "I can speak a little Dugi Bialan"

gudei zon, "understand (a concept)"
va-wei, "does/do not"
mi wei gudei zon, "I understand"
mi va-wei gudei zon, "I don't understand"
vin wei va-wei gudei zon "Do you understand"
