vis, new
esuno, sun/day
vemi, what / how / etc
belin, feel / want
giawin, go / move
mudei, much / many
da, to / towards / for
don, time / hour
guma, come

o buna, Hello
o esuno buna, Good day
o esuno buna o min buna, good day miss/madame

o esuno vis buna, o min buna, Good morning Madamme

vin li belin vemi, How are you? / What are you feeling?
vin li giawin vemi, How are you going?
li giawin vemi, How's it going?

mi li belin buna, I'm feeling well
mi li giawin buna, I'm going well
li giawin buna, It's going well

o buna, "please / thankyou / good wishes"
buna mudei, very well
"buna mudei, o buna" , "very well, thankyou"
"mi li giawin buna mudei" , I'm going very well

mi wei giawin, "Bye / I'm off"
o giawin buna, "Bye / Go well"
o buna ei vin, "take care"

Till nex time, "da don guma"
Go well madame , "o giawin buna, o min buna"
Take care sir, "o buna ei vin , o mon buna"

buna va-mudei, "not very well"
mi li gein dugi buna va-mudei, "I can speak, not very well"

