ba, "ahh / surprise / interjection"
i,"SUBJECT marker"
deso, "but / however"
esi, if

"o buna o zan buna, vin li belin vemi?" Hello sir how are you.
"li belin buna, o buna" "I'm well thanks"
"ba, vin li gein dugi ei dugi Velonss", "Ah you can speak french"
"li o min buna, deso leli", "Yes madame a bit" 

"o esuno vis buna o min buna", Good morning madame
"i vin", "and you"
"mi li bi man Emeigg, i vin", "I'm american, and you?" 

"deso mi li gein gudei ei dugi Bialan", "but I understand Dugi Bialan"
vin i mi li gein dugi ei dugi Bialan, "You and I can speak Dugi Bialan"

vin wei va-wei gein dugi, "Can you speak (now)"
buna esi, please
li buna da vin esi, If it pleases you
vin va-li bi man Velonss, You are not french
mi va-li belin buna, I'm not well
"deso li", "but yes / but it is"
"va-deso leli", only a little
"deso zan buna, vin li gein dugi buna mudei", "but friend, you speak very well"

"da mi la i vin deso bi man Emeigg, li gein dugi buna mudei ei dugi bialan", "To me, for an american you speak very good Dugi Bialan"
